id_seller,username,nama_toko,level_toko,premium_toko,id_produk,nama_produk,kategori,kondisi,rating,jumlah_rating,stok,jumlah_interest,jumlah_sold,jumlah_view,harga,harga_asli,diskon,deskripsi
379098398,whitestonelapak,White Stone,Juragan,platinum,30zvkza,Baju Koko Kurta Pakistan Lengan Panjang Slim Fit Katun Premium Putih Polos Baju Muslim Taqwa Pria Lebaran Terbaru,Busana Muslim Pria,Baru,5,210,941,144,2067,0,135000,192000,30,Matt : Toyobo Tebal<br><br/>High Quality<br><br/>Non Strech<br><br/>Kantong : Asli<br><br/>Kantong Kanan &amp; Kiri<br><br/><br><br/>SIZE<br><br/>M LD 104 PJ 79<br><br/>L LD 108 PJ 81<br><br/>XL LD 112 PJ 83<br><br/>XXL LD 116 PJ 85<br><br/>toleransi size 1-2 cm<br><br/><br><br/>#bajukoko #koko #muslim #fashionmuslim #toybo<br><br/><br><br/>Terima kasih!
379098398,whitestonelapak,White Stone,Juragan,platinum,30zuuzq,Gamis Jubah Pria Saudi Arabi Jumbo Baju Muslim Modern Premium Terbaru,Busana Muslim Pria,Baru,5,103,506,17,504,0,270000,270000,0,Warna tersedia:<br><br/>- green kombi grey<br><br/>- grey Kombi green<br><br/>- Misty Kombi Mustard<br><br/>- Mustard Kombi Misty<br><br/>- Misty Kombi soft blue<br><br/>- soft blue Kombi Misty<br><br/>- navy Kombi white<br><br/>- white Kombi navy<br><br/>- tosca Kombi white<br><br/>- white Kombi tosca<br><br/><br><br/>Bahan : Katun Balotelli<br><br/>Kualitas: DIJAMIN MANTAP<br><br/><br><br/>Warna Real Pict (Mungkin ada perbedaan sedikit karena efek cahaya)<br><br/>Size Chart: (Lebar Dada X Panjang Baju)<br><br/>M (56 X 132)<br><br/>L (58 X 132)<br><br/>XL(60 X 134)<br><br/><br><br/>**Toleransi Size 1-2 CM
379098398,whitestonelapak,White Stone,Juragan,platinum,2n5b5h7,Jaket Sweater Hoodie Jumper Zipper Original Casual Pria Wanita,Sweater,Baru,5,1,999,2,1,0,160000,160000,0,"( UNISEX )<br/>BAHAN : COTTON TAIWAN ( 100% FULL COTTON )<br/><br/>SIZE : P (panjang dari bahu kebawah) L (lebar) PL (panjang lengan) <br/><br/>M : P 65cm L 53cm PL 61cm <br/>L : P 67cm L 55cm PL 63cm<br/>XL : P 69cm L 55cm PL 67cm<br/><br/>JAHITAN : double benang<br/><br/>BERAT : 600 GRAM<br/><br/>BARANG DIJAMIN SESUAI DENGAN PHOTO<br/><br/>""FREE AKSESORIS KECE"""
379098398,whitestonelapak,White Stone,Juragan,platinum,2n59tfc,Jaket Hoodie Sweater Jumper Zipper Original Pria Wanita,Jaket,Baru,5,1,1000,1,1,0,160000,160000,0,"( UNISEX )<br/>BAHAN : COTTON TAIWAN ( 100% FULL COTTON )<br/><br/>SIZE : P (panjang dari bahu kebawah) L (lebar) PL (panjang lengan) <br/><br/>M : P 63cm L 51cm PL 60cm <br/>L : P 65cm L 53cm PL 62cm<br/>XL : P 67cm L 55cm PL 65cm<br/><br/>JAHITAN : double benang<br/><br/>BERAT : 600 GRAM<br/><br/>BARANG DIJAMIN SESUAI DENGAN PHOTO<br/><br/>""FREE AKSESORIS KECE"""
379098398,whitestonelapak,White Stone,Juragan,platinum,2l6wg5s,Celana Chino Pria Original Celana Panjang Skinny Slim Fit Celana Casual Kerja Kantor,Celana Panjang,Baru,4.8,4,1000,5,5,0,155000,155000,0,"Warna:<br/>- Black<br/>- Mocca<br/>- Stone<br/>- Dark Khaki <br/>- Cream<br/>- Navy<br/>- White<br/>- Grey Young<br/>- Khaki<br/>- Light Cream<br/>- Coffe<br/><br/>- Gambar produk 100% Real Pict<br/>- Bahan Cotton Twill Combad (Bahan Lembut dan Meral / Strech)<br/>- bahan Tidak Luntur <br/>- Model Fitting Slimfit<br/>- Merek Libra Original Made In Bandung (Bukan Merek Kw Abal- Abal) <br/>- Jahitan Full Chain Stitch / Rantai <br/><br/>Warna produk mungkin tidak akan 100% sama dengan foto, disebabkan faktor cahaya saat pengambilan gambar atau tingkat kualitas cahaya gadget yang digunakan berbeda.<br/><br/>""HARAP DI PERHATIKAN SIZE DETAIL CELANA AGAR TIDAK TERJADI KESALAHAN SIZE""<br/><br/>Size yang digunakan Adalah M, L, XL, XXL BUKAN Menggunakan NO/Angka <br/><br/>- Size M setara size 28/29<br/>Lingkar Pinggang 78 cm, Panjang 99 cm, Lebar Paha 25, Lebar Kaki 16<br/>- Size L setara size 30/31<br/>Lingkar Pinggang 83 cm, Panjang 101 cm, Lebar Paha 27, Lebar Kaki 17<br/>- Size XL setara size 32/33<br/>Lingkar Pinggang 88 cm, Panjang 102 cm, Lebar Paha 28, Lebar Kaki 18<br/>- Size XXL Setara 34/35<br/>Lingkar Pinggang 93 cm, Panjang 103 cm, Lebar Paha 30, Lebar Kaki 19<br/><br/>(TOLERANSI SIZE +- 1 SAMPAI 2 CM)"
379098398,whitestonelapak,White Stone,Juragan,platinum,2l6ouj3,Celana Jeans Pria Jumbo Big Size Besar Celana Panjang Skinny Slimfit Pensil Distro Denim,Celana Panjang,Baru,5,5,994,12,6,0,189000,189000,0,"JEANS SLIM<br><br/><br><br/>MATERIAL : FULL PRE-WASHED DENIM STRECH (SOFT) = BAHAN NGARET DAN LEMBUT <br><br/><br><br/>JAHITAN : RANTAI DAN OVERDEK<br><br/>SLETING : YKK<br><br/><br><br/>WARNA TIDAK LUNTUR<br><br/><br><br/>SIZE : (Panjang &amp; LingkarPinggang)<br><br/>XXL= 35-36 (P 105cm LP 92cm)<br><br/>XXXL= 37-38 (P 105cm LP 96cm)<br><br/>XXXXL = 39- 40 (P 107cm LP 98cm)<br><br/>XXXXXL = 41-42 (P 107cm LP 100cm)<br><br/><br><br/>BERAT : 630 - 680 gram<br><br/><br><br/>Kami menyediakan produk dengan kualitas terbaik, bahan terbaik, serta jahitan yang terbaik,<br><br/>Karna bagi kami kepuasan pelanggan menjadi tujuan utama bagi kami<br><br/><br><br/>FREE GELANG 1PCS DAN AKSESORIS UNTUK TIAP PRODUK (TIDAK BISA REQUEST WARNA, BENTUK DLL)"
379098398,whitestonelapak,White Stone,Juragan,platinum,2kvnsxd,Celana Jeans Pria Jumbo Big Size Besar Skinny Slim Fit Pensil Celana Panjang Cowok Denim Original Premium Casual,Celana Panjang,Baru,5,6,100,9,8,0,189000,189000,0,"JEANS SLIM<br><br/><br><br/>MATERIAL : FULL PRE-WASHED DENIM STRECH (SOFT) = BAHAN NGARET DAN LEMBUT <br><br/><br><br/>JAHITAN : RANTAI DAN OVERDEK<br><br/>SLETING : YKK<br><br/><br><br/>WARNA TIDAK LUNTUR<br><br/><br><br/>SIZE : (Panjang &amp; LingkarPinggang)<br><br/>XXL= 35-36 (P 105cm LP 92cm)<br><br/>XXXL= 37-38 (P 105cm LP 96cm)<br><br/>XXXXL = 39- 40 (P 107cm LP 98cm)<br><br/>XXXXXL = 41-42 (P 107cm LP 100cm)<br><br/><br><br/>BERAT : 630 - 680 gram<br><br/><br><br/>Kami menyediakan produk dengan kualitas terbaik, bahan terbaik, serta jahitan yang terbaik,<br><br/>Karna bagi kami kepuasan pelanggan menjadi tujuan utama bagi kami<br><br/><br><br/>FREE GELANG 1PCS DAN AKSESORIS UNTUK TIAP PRODUK (TIDAK BISA REQUEST WARNA, BENTUK DLL)"
379098398,whitestonelapak,White Stone,Juragan,platinum,2kua13o,Celana Jeans Pria Super Jumbo Big Size Besar Slim Fit Pensil Skinny Celana Panjang Premium Distro Original,Celana Panjang,Baru,4.9,12,100,25,15,0,199000,199000,0,"JEANS SLIM<br><br/><br><br/>MATERIAL : FULL PRE-WASHED DENIM STRECH (SOFT) = BAHAN NGARET DAN LEMBUT <br><br/><br><br/>JAHITAN : RANTAI DAN OVERDEK<br><br/>SLETING : YKK<br><br/><br><br/>WARNA TIDAK LUNTUR<br><br/><br><br/>SIZE : (Panjang &amp; LingkarPinggang)<br><br/><br><br/>XXL= 35-36 (P 105cm LP 92cm)<br><br/>XXXL= 37-38 (P 105cm LP 96cm)<br><br/>XXXXL = 39- 40 (P 107cm LP 98cm)<br><br/>XXXXXL = 41-42 (P 107cm LP 100cm)<br><br/><br><br/>BERAT : 680-750 gram<br><br/><br><br/>Kami menyediakan produk dengan kualitas terbaik, bahan terbaik, serta jahitan yang terbaik,<br><br/>Karna bagi kami kepuasan pelanggan menjadi tujuan utama bagi kami<br><br/><br><br/>FREE GELANG 1PCS DAN AKSESORIS UNTUK TIAP PRODUK (TIDAK BISA REQUEST WARNA, BENTUK DLL)"
379098398,whitestonelapak,White Stone,Juragan,platinum,2ktx5wt,Celana Jeans Pria Jumbo Big Size Besar Slim Fit Pensil Skinny Denim Stretch Celana Panjang Original Premium,Celana Panjang,Baru,4.8,4,999,4,5,0,189000,189000,0,"JEANS SLIM<br><br/><br><br/>MATERIAL : FULL PRE-WASHED DENIM STRECH (SOFT)  = BAHAN NGARET DAN LEMBUT <br><br/><br><br/>JAHITAN : RANTAI DAN OVERDEK<br><br/>SLETING : YKK<br><br/><br><br/>WARNA TIDAK LUNTUR<br><br/><br><br/>SIZE : (Panjang &amp; LingkarPinggang)<br><br/>XXL= 35-36 (P 105cm LP 92cm)<br><br/>XXXL= 37-38 (P 105cm LP 96cm)<br><br/>XXXXL = 39- 40 (P 107cm LP 98cm)<br><br/>XXXXXL = 41-42 (P 107cm LP 100cm)<br><br/><br><br/>BERAT : 630 - 680 gram<br><br/><br/><br><br/>Kami menyediakan produk dengan kualitas terbaik, bahan terbaik, serta jahitan yang terbaik,<br><br/>Karna bagi kami kepuasan pelanggan menjadi tujuan utama bagi kami<br><br/><br/><br><br/>FREE GELANG 1PCS DAN AKSESORIS UNTUK TIAP PRODUK (TIDAK BISA REQUEST WARNA, BENTUK DLL)"
379098398,whitestonelapak,White Stone,Juragan,platinum,2dwc12y,Kemeja Pria Lengan Pendek Grey Abu Polos Slim Fit Baju Hem Cowok Casual,Kemeja,Baru,4.9,37,907,27,95,0,153500,153500,0,Estimasi Size (Lebar x Panjang) :<br><br/>M = 50x70<br><br/>L = 52x72<br><br/>XL = 54x74 (jika tertera size XL pada picture)<br><br/> Mungkin ada sedikit perbedaan ukuran sekitar beberapa cm
